Question,Answer
"Are audit and assurance policies, procedures, and standards established, documented,
approved, communicated, applied, evaluated, and maintained?
","Continuing assessments of the company’s controls and control enhancements are conducted to maintain a high degree of confidentiality, integrity, and availability. These assessments include audits conducted by external audit groups, internal control testing conducted, and various security monitoring processes in place.

Reports from both the annual assessments and quarterly internal control testing are provided to leadership"
"Are audit and assurance policies, procedures, and standards reviewed and updated
at least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Are independent audit and assurance assessments conducted according to relevant
standards at least annually?
","Assessments of the company’s controls and control enhancements are conducted annually or more frequently to maintain a high degree of confidentiality, integrity, and availability. Assessments include audits conducted by both internal and external audit groups, internal control testing, and various security monitoring processes.  External audits include compliance with AICPA SOC2 (both type 1 and type 2) and SOC3 and ISO/IEC 27001, 27017, 27018, and 27701.

Reports from all assessments are provided to leadership."
"Are independent audit and assurance assessments performed according to risk-based
plans and policies?
","All product and service offerings that are in scope of this program are audited at least yearly by independent 3rd parties for compliance with ISO/IEC 27001,27017, 27018, and 27701 as per contractual obligations.  Some product and service offerings are also audited by 3rd parties for compliance with AICPA SOC2 (type 1 & 2) and SOC3.  The audit plans consider risk levels to determine priorities."
"Is compliance verified regarding all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit?
",IBM Cloud Infrastructure Services contracts with independent third-parties in accordance with specific audit standards using NIST SP 800-37 Guide for Applying Risk Management Framework for Federal Information systems  and NIST SP 800-39 Managing Information Security Risk
"Is an audit management process defined and implemented to support audit planning,
risk analysis, security control assessments, conclusions, remediation schedules,
report generation, and reviews of past reports and supporting evidence?
","Assessment and audits of the company's product and service offerings are selected, planned, and conducted on a risk level basis and prior assessment/audit results contribute to that selection and planning.  Reports of the findings, observations and recommendations are documented, reported to the management and executives, and actions taken as appropriate.  Remediation actions are tracked, and escalation of priority made according to severity and on strict timelines. "
"Is a risk-based corrective action plan to remediate audit findings established,
documented, approved, communicated, applied, evaluated, and maintained?
",See A&A-05.1
"Is the remediation status of audit findings reviewed and reported to relevant
stakeholders?
",See A&A-05.1
"Are application security policies and procedures established, documented,
approved, communicated, applied, evaluated, and maintained to guide appropriate
planning, delivery, and support of the organization's application security capabilities?
","IBM maintains policies and procedures to govern and verify that IBM service applications and APIs are developed, tested, deployed, and maintained using industry and internal standards.  As information security is a constantly evolving area, reviews and updates are done as needed, and at least on an annual basis. 

IBM’s Security & Privacy by Design (SPbD) guidelines provide high standards for IBM’s security and privacy practices, including architecture and code reviews; risk assessment and remediation; pre and post deployment security testing, including regular vulnerability scanning and penetration testing; security information and event logging and monitoring; automated security configuration verification and management; and identity and access management.

In addition to ensuring a consistently high level of security for IBM services, such reviews, monitoring, and testing, configuration and identify management, and internal and external audits, provide regular confirmation of IBM’s adherence to its legal obligations and stated technical and organizational security and privacy measures."
"Are application security policies and procedures reviewed and updated at least
annually?
",See AIS-01.1
